,name,price,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация
405,"Kia Sportage 2.0 AT, 2014, 115 400 км",1149000, 2014, III (2010—2014), 115 400 км, 11 записей в отчёте Автотеки,, 1, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Серый, Левый, XWEP*************, Возможен, Базовая
406,"Renault Duster 1.5 MT, 2012, 163 268 км",925000, 2012, I (2010—2015), 163 268 км, 7 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.5 dCi 4WD MT (90 л.с.), 1.5 л, Дизель, Механика, Полный, Внедорожник 5-дверный, Чёрный, Левый, X7LH*************, Не интересует, Privilege
407,"Mazda 6 2.0 AT, 2014, 141 188 км",1329000, 2014, GJ (2012—2015), 141 188 км, 13 записей в отчёте Автотеки,, 3, Не битый, 2.0 AT (150 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Белый, Левый, RUMG*************, Возможен, Supreme
408,"Peugeot 3008 1.6 AT, 2011, 144 000 км",789000, 2011, I (2009—2013), 144 000 км, 9 записей в отчёте Автотеки,, 3, Не битый, 1.6 AT (150 л.с.), 1.6 л, Бензин, Автомат, Передний, Внедорожник 5-дверный, Чёрный, Левый, VF30*************, Возможен, Базовая
409,"Volkswagen Polo 1.6 AT, 2019, 273 355 км",845000, 2019, V рестайлинг (2015—2020), 273 355 км, 9 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MPI AT (110 л.с.), 1.6 л, Бензин, Автомат, Передний, Седан, Белый, Левый, XW8Z*************,, Comfortline
410,"Hyundai Sonata 2.5 AT, 2021, 70 000 км",1820000, 2021, VIII (2019—2023), 70 000 км, 2 записи в отчёте Автотеки, Электронный, 1, Не битый, 2.5 AT (180 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Белый, Левый, XWEL*************, Возможен, Business + Smart Sense
411,"Ford Mondeo 2.0 MT, 2008, 196 000 км",499000, 2008, IV (2006—2010), 196 000 км, 6 записей в отчёте Автотеки,, 2, Не битый, 2.0 MT (145 л.с.), 2 л, Бензин, Механика, Передний, Седан, Синий, Левый, WF0D*************, Возможен, Titanium
412,"Volkswagen Tiguan 2.0 AT, 2013, 151 000 км",1699000, 2013, I рестайлинг (2011—2019), 151 000 км, 9 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 TSI 4Motion AT (170 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XW8Z*************, Не интересует, Avenue
413,"Volkswagen Amarok 2.0 AT, 2017, 148 000 км",1999000, 2017, I рестайлинг (2016—2022), 148 000 км, 6 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 BiTDI AT (180 л.с.), 2 л, Дизель, Автомат, Полный, Пикап, Серый, Левый, WV1Z*************,,
414,"Toyota Camry 2.5 AT, 2021, 65 014 км",2195000, 2021, XV70 рестайлинг (2020—2024), 65 014 км, 14 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.5 AT (209 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, XW7B*************,,
415,"BMW 7 серия 4.4 AT, 2009, 216 000 км",1100000, 2009, F01/F02 (2008—2012), 216 000 км, 7 записей в отчёте Автотеки, Оригинал, 2, Не битый, 750Li 4.4 xDrive AT (407 л.с.), 4.4 л, Бензин, Автомат, Полный, Седан, Серый, Левый, WBAK*************, Не интересует, Базовая
416,"ВАЗ (LADA) Granta 1.6 MT, 2012, 111 000 км",420000, 2012, I (2011—2018), 111 000 км, 4 записи в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MT (87 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Серебряный, Левый, XTA2*************,, Norma
417,"Ford Explorer 3.5 AT, 2019, 142 000 км",2549000, 2019, V рестайлинг 2 (2017—2019), 142 000 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, 3.5 V6 AT (249 л.с.), 3.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Синий, Левый, Z6FB*************,,
418,"Audi A6 1.8 AMT, 2015, 128 000 км",1499000, 2015, C7 рестайлинг (2014—2018), 128 000 км, 7 записей в отчёте Автотеки,, 2, Не битый, 1.8 TFSI S tronic (190 л.с.), 1.8 л, Бензин, Робот, Передний, Седан, Чёрный, Левый, XW8Z*************, Возможен,
419,"Mazda 6 2.5 AT, 2014, 98 789 км",1150000, 2014, GJ (2012—2015), 98 789 км, 17 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.5 AT (192 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, RUMG*************, Не интересует,
420,"BMW X3 2.0 AT, 2022, 14 500 км",3450000, 2022, G01 рестайлинг (2021—2024), 14 500 км, Проверить в Автотеке, Электронный, 1, Не битый, 30i 2.0 Steptronic (252 л.с.), 2 л, Бензин, Автомат, Задний, Внедорожник 5-дверный, Серый, Левый, 5UX4*************, Не интересует, Base
421,"Volkswagen Tiguan 2.0 AT, 2011, 192 000 км",1415000, 2011, I рестайлинг (2011—2019), 192 000 км, 14 записей в отчёте Автотеки, Оригинал, 3, Не битый, 2.0 TDI 4Motion AT (140 л.с.), 2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XW8Z*************, Не интересует,
422,"Hyundai Solaris 1.4 MT, 2013, 99 000 км",850000, 2013, I (2010—2014), 99 000 км, 5 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.4 MT (107 л.с.), 1.4 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Серый, Левый, Z94C*************,, Comfort
423,"Nissan X-Trail 2.5 CVT, 2012, 173 500 км",1095000, 2012, II рестайлинг (2010—2015), 173 500 км, 13 записей в отчёте Автотеки,, 1, Не битый, 2.5 4WD CVT (169 л.с.), 2.5 л, Бензин, Вариатор, Полный, Внедорожник 5-дверный, Чёрный, Левый, Z8NT*************, Возможен,
424,"Ford Focus 1.6 MT, 2001, 35 863 км",195000, 2001, I (1998—2004), 35 863 км, 8 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 MT (90 л.с.), 1.6 л, Бензин, Механика, Передний, Универсал, Серебряный, Левый, WF0N*************, Не интересует, Базовая
425,"Volkswagen Polo 1.6 MT, 2019, 331 484 км",700000, 2019, V рестайлинг (2015—2020), 331 484 км, 7 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MPI MT (90 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Белый, Левый, XW8Z*************, Не интересует, Drive
426,"Opel Astra 1.8 AT, 2008, 395 000 км",390000, 2008, H рестайлинг (2006—2014), 395 000 км, 10 записей в отчёте Автотеки, Дубликат, 4+, Не битый, 1.8 AT (140 л.с.), 1.8 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, XUF0*************, Не интересует, Cosmo
427,"Audi A4 1.8 CVT, 2015, 152 000 км",1195000, 2015, B8 рестайлинг (2011—2015), 152 000 км, 3 записи в отчёте Автотеки,, 1, Не битый, 1.8 TFSI Multitronic (170 л.с.), 1.8 л, Бензин, Вариатор, Передний, Седан, Коричневый, Левый, WAUZ*************, Возможен,
428,"Audi Q7 3.0 AT, 2010, 261 500 км",1750000, 2010, 4L рестайлинг (2009—2015), 261 500 км, 13 записей в отчёте Автотеки, Оригинал, 2, Не битый, 3.0 TDI quattro Tiptronic (239 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, WAUZ*************, Не интересует, Base
429,"ВАЗ (LADA) Priora 1.6 MT, 2009, 100 000 км",318000, 2009, I (2007—2013), 100 000 км, 21 запись в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 MT (98 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Зелёный, Левый, XTA2*************, Не интересует, Норма
430,"Kia Rio 1.6 AT, 2017, 111 000 км",859000, 2017, III рестайлинг (2015—2017), 111 000 км, 5 записей в отчёте Автотеки,, 2, Не битый, 1.6 AT (123 л.с.), 1.6 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Коричневый, Левый, Z94C*************, Возможен, Premium
431,"Chevrolet Equinox 1.5 AT, 2019, 141 000 км",1650000, 2019, III (2017—2021), 141 000 км, Проверить в Автотеке, Электронный, 1, Не битый, 1.5 AT (170 л.с.), 1.5 л, Бензин, Автомат, Передний, Внедорожник 5-дверный, Чёрный, Левый, 2GNA*************, Не интересует, Базовая
432,"Hyundai Grand Starex 2.5 AT, 2010, 167 000 км",1495000, 2010, I (2007—2015), 167 000 км, 9 записей в отчёте Автотеки,, 3, Не битый, 2.5 CRDi 4WD AT (145 л.с.), 2.5 л, Дизель, Автомат, Полный, Минивэн, Белый, Левый, KMJW*************, Возможен, Базовая
433,"Renault Fluence 1.6 CVT, 2013, 289 500 км",575000, 2013, I рестайлинг (2012—2017), 289 500 км, 15 записей в отчёте Автотеки, Дубликат, 3, Не битый, 1.6 CVT (114 л.с.), 1.6 л, Бензин, Вариатор, Передний, Седан, Серый, Левый, VF1L*************, Не интересует, Expression
434,"Skoda Octavia 1.6 MT, 2010, 203 000 км",550000, 2010, II рестайлинг (2008—2013), 203 000 км, 12 записей в отчёте Автотеки, Оригинал, 4+, Не битый, 1.6 MPI MT (102 л.с.), 1.6 л, Бензин, Механика, Передний, Лифтбек, Серый, Левый, XW8D*************, Не интересует, Ambition
435,"Renault Megane 1.6 AT, 2011, 140 321 км",589000, 2011, III (2008—2014), 140 321 км, 36 записей в отчёте Автотеки,, 3, Не битый, 1.6 AT (106 л.с.), 1.6 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Белый, Левый, VF1B*************, Возможен, Базовая
436,"Kia Sportage 1.7 AMT, 2018, 78 352 км",1180000, 2018, IV (2015—2018), 78 352 км, 2 записи в отчёте Автотеки, Оригинал, 1, Не битый, 1.7 CRDi AMT (141 л.с.), 1.7 л, Дизель, Робот, Передний, Внедорожник 5-дверный, Бежевый, Левый, KNAP*************,, Базовая
437,"Audi Q5 2.0 AT, 2014, 139 000 км",1265000, 2014, I рестайлинг (2012—2017), 139 000 км, 17 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 TFSI quattro AT (225 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, XW8Z*************,, Base
438,"Cadillac DE Ville 4.6 AT, 1999, 194 657 км",750000, 1999, VIII (1999—2005), 194 657 км, 6 записей в отчёте Автотеки, Дубликат, 4+, Не битый, 4.6 AT (275 л.с.), 4.6 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, 1G6K*************, Не интересует, Базовая
439,"Volkswagen Amarok 2.0 AT, 2016, 112 415 км",1749000, 2016, I (2010—2016), 112 415 км, 14 записей в отчёте Автотеки,, 2, Не битый, 2.0 TDI 4Motion AT (180 л.с.), 2 л, Дизель, Автомат, Полный, Пикап, Чёрный, Левый, WV1Z*************, Возможен, Highline
440,"Toyota RAV4 2.0 AT, 2007, 196 500 км",995000, 2007, III (2005—2010), 196 500 км, 15 записей в отчёте Автотеки,, 4+, Не битый, 2.0 4WD AT (152 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, JTMB*************, Возможен, Луна+
441,"Mitsubishi Pajero Sport 2.4 AT, 2021, 37 000 км",4700000, 2021, III рестайлинг (2019—2024), 37 000 км, 5 записей в отчёте Автотеки, Электронный, 1, Не битый, 2.4 D 4WD AT (181 л.с.), 2.4 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Серебряный, Левый, X2MG*************,, Intense
442,"Hyundai Santa Fe 2.2 AT, 2015, 156 000 км",1505000, 2015, III (2012—2016), 156 000 км, 26 записей в отчёте Автотеки,, 2, Не битый, 2.2 R VGT 4WD AT (197 л.с.), 2.2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, KMHS*************, Возможен, Dynamic + High-Tech
443,"LiXiang L9 1.5 AT, 2024, 1 км",8890000, 2024, I рестайлинг (2024—2024), 1 км,, Оригинал, 1, Не битый, 1.5hyb 4WD AT (449 л.с.), 1.5 л, Гибрид, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, HLX3*************,, Ultra
444,"Cadillac SRX 3.0 AT, 2014, 142 000 км",1360000, 2014, II рестайлинг (2012—2016), 142 000 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, 3.0 V6 4WD AT (249 л.с.), 3 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XWFF*************,, Base
445,"Mazda CX-7 2.3 AT, 2011, 148 000 км",849000, 2011, I рестайлинг (2009—2012), 148 000 км, 11 записей в отчёте Автотеки,, 1, Не битый, 2.3 4WD AT (238 л.с.), 2.3 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, JMZE*************, Возможен, Sport
446,"Toyota Camry 2.4 AT, 2008, 202 769 км",1270000, 2008, XV40 (2006—2009), 202 769 км, 8 записей в отчёте Автотеки, Оригинал, 4+, Не битый, 2.4 AT (167 л.с.), 2.4 л, Бензин, Автомат, Передний, Седан, Серебряный, Левый, JTNB*************, Не интересует, Престиж
447,"Toyota RAV4 2.0 CVT, 2022, 22 км",2899000, 2022, V (2018—2024), 22 км, 3 записи в отчёте Автотеки,, 1, Не битый, 2.0 4WD CVT (149 л.с.), 2 л, Бензин, Вариатор, Полный, Внедорожник 5-дверный, Чёрный, Левый, XW7D*************, Возможен, Престиж
448,"Kia Soul 1.6 AT, 2011, 163 500 км",793000, 2011, I рестайлинг (2011—2014), 163 500 км, 7 записей в отчёте Автотеки,, 2, Не битый, 1.6 CRDi AT (128 л.с.), 1.6 л, Дизель, Автомат, Передний, Хетчбек 5-дверный, Серый, Левый, XWEJ*************, Возможен, Luxe
449,"Hyundai i30 1.6 AT, 2009, 140 202 км",579000, 2009, I (2007—2010), 140 202 км, 8 записей в отчёте Автотеки,, 2, Не битый, 1.6 AT (122 л.с.), 1.6 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Чёрный, Левый, TMAD*************, Возможен, Базовая
450,"Nissan Qashqai 2.0 CVT, 2019, 136 962 км",1350000, 2019, II рестайлинг (2017—2023), 136 962 км, 4 записи в отчёте Автотеки,, 2, Не битый, 2.0 CVT (144 л.с.), 2 л, Бензин, Вариатор, Передний, Внедорожник 5-дверный, Белый, Левый, Z8NF*************,, SE
451,"Ford Focus 1.5 AT, 2016, 130 000 км",935000, 2016, III рестайлинг (2014—2019), 130 000 км, 19 записей в отчёте Автотеки,, 2, Не битый, 1.5 EcoBoost AT (150 л.с.), 1.5 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Чёрный, Левый, Z6F5*************, Возможен, Titanium
452,"Ford Focus 1.4 MT, 2007, 184 500 км",390000, 2007, II (2005—2008), 184 500 км, 13 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.4 MT (80 л.с.), 1.4 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Синий, Левый, X9F5*************, Не интересует,
453,"Mercedes-Benz C-класс 1.8 AT, 2012, 165 298 км",1329000, 2012, W204/S204/С204 рестайлинг (2011—2015), 165 298 км, 24 записи в отчёте Автотеки,, 4+, Не битый, C 180 1.8 7G-Tronic (156 л.с.), 1.8 л, Бензин, Автомат, Задний, Седан, Белый, Левый, WDD2*************, Возможен,
454,"Nissan X-Trail 2.0 CVT, 2014, 107 000 км",1115000, 2014, II рестайлинг (2010—2015), 107 000 км, 5 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 CVT (137 л.с.), 2 л, Бензин, Вариатор, Передний, Внедорожник 5-дверный, Чёрный, Левый, Z8NT*************, Не интересует, Базовая
455,"Volkswagen Tiguan 1.4 AMT, 2021, битый, 19 573 км",1590000, 2021, II рестайлинг (2020—2024), 19 573 км, Проверить в Автотеке, Электронный, 1, Битый, 1.4 TSI DSG (150 л.с.), 1.4 л, Бензин, Робот, Передний, Внедорожник 5-дверный, Бежевый, Левый, XW8Z*************, Не интересует, Respect Plus
456,"Mazda 3 2.0 MT, 2007, 270 900 км",730000, 2007, BK рестайлинг (2006—2009), 270 900 км, 8 записей в отчёте Автотеки, Дубликат, 4+, Не битый, 2.0 MT (150 л.с.), 2 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Серый, Левый, JMZB*************, Возможен, Sport
457,"Volkswagen Touareg 3.0 AT, 2013, 146 000 км",1400000, 2013, II (2010—2014), 146 000 км, 4 записи в отчёте Автотеки, Оригинал, 3, Не битый, 3.0 TDI 4Motion AT (204 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XW8Z*************, Не интересует, Edition X
458,"Hyundai Creta 2.0 AT, 2019, 89 275 км",1110000, 2019, I (2016—2020), 89 275 км, 13 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Серый, Левый, Z94G*************,,
459,"Toyota Camry 2.5 AT, 2016, 85 087 км",2500000, 2016, XV50 рестайлинг (2014—2017), 85 087 км, 11 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.5 AT (181 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, XW7B*************, Не интересует, Комфорт
