,name,price,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация
0,"Nissan Almera 1.5 MT, 2005, 186 000 км",375000, 2005, N16 рестайлинг (2002—2006), 186 000 км, 16 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.5 MT (98 л.с.), 1.5 л, Бензин, Механика, Передний, Седан, Бежевый, Левый, SJNB*************, Не интересует,
1,"Kia K5 2.5 AT, 2021, 62 525 км",1440000, 2021, III (2019—2023), 62 525 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.5 GDI AT (194 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Синий, Левый, XWEG*************,,
2,"Hyundai Accent 1.5 MT, 2006, 175 600 км",319800, 2006, II (1999—2012), 175 600 км, 11 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.5 MT (102 л.с.), 1.5 л, Бензин, Механика, Передний, Седан, Бежевый, Левый, X7MC*************, Не интересует, Базовая
3,"Volvo XC90 2.5 AT, 2010, 170 000 км",1235000, 2010, I рестайлинг (2006—2014), 170 000 км, 16 записей в отчёте Автотеки,, 3, Не битый, 2.5 T5 4WD AT (210 л.с.) 7 мест, 2.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, YV1C*************, Возможен,
4,"Hyundai Santa Fe 2.2 AT, 2018, 98 213 км",2049000, 2018, III рестайлинг (2015—2018), 98 213 км, 4 записи в отчёте Автотеки,, 1, Не битый, 2.2 CRDi 4WD AT (200 л.с.), 2.2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, XWES*************, Возможен, Dynamic
5,"SsangYong Actyon 2.0 MT, 2015, битый, 166 000 км",550000, 2015, II рестайлинг (2013—2021), 166 000 км, 6 записей в отчёте Автотеки, Оригинал, 2, Битый, 2.0 MT (149 л.с.), 2 л, Бензин, Механика, Передний, Внедорожник 5-дверный, Серебряный, Левый, RUMA*************, Не интересует, Original
6,"Skoda Rapid 1.6 MT, 2016, 130 000 км",590000, 2016, I (2012—2017), 130 000 км, 9 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MPI MT (90 л.с.), 1.6 л, Бензин, Механика, Передний, Лифтбек, Белый, Левый, XW8A*************, Не интересует, Active
7,"Chevrolet Cruze 1.8 AT, 2013, 118 000 км",955000, 2013, I рестайлинг (2012—2015), 118 000 км, 3 записи в отчёте Автотеки, Оригинал, 1, Не битый, 1.8 AT (141 л.с.), 1.8 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Серый, Левый, XUFJ*************, Не интересует, LS
8,"Toyota Camry 2.4 AT, 2008, 183 254 км",770000, 2008, XV40 (2006—2009), 183 254 км, 6 записей в отчёте Автотеки, Оригинал, 3, Не битый, 2.4 AT (167 л.с.), 2.4 л, Бензин, Автомат, Передний, Седан, Серый, Левый, XW7B*************, Не интересует, Комфорт
9,"BMW 1 серия 1.5 AT, 2017, 122 000 км",1020000, 2017, F20/F21 рестайлинг (2015—2017), 122 000 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, 118i 1.5 Steptronic (136 л.с.), 1.5 л, Бензин, Автомат, Задний, Хетчбек 5-дверный, Белый, Левый, WBA1*************,,
10,"Audi 80 1.8 MT, 1988, 400 000 км",145000, 1988, B3 (1986—1991), 400 000 км, 6 записей в отчёте Автотеки, Дубликат, 4+, Не битый, 1.8 MT (90 л.с.), 1.8 л, Бензин, Механика, Передний, Седан, Белый, Левый, WAUZ*************, Не интересует, Base
11,"Mazda 6 2.0 AT, 2011, 150 000 км",1049000, 2011, GH рестайлинг (2009—2013), 150 000 км, 24 записи в отчёте Автотеки,, 2, Не битый, 2.0 AT (147 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, JMZG*************, Возможен,
12,"Hyundai Tucson 2.0 AT, 2020, 28 300 км",1520000, 2020, III рестайлинг (2018—2021), 28 300 км, 4 записи в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Бежевый, Левый, XWEJ*************, Не интересует, Family
13,"Nissan Liberty 2.0 CVT, 2000, 290 000 км",350000, 2000, I (1998—2004), 290 000 км, 7 записей в отчёте Автотеки, Оригинал, 3, Не битый, 2.0 CVT (140 л.с.), 2 л, Бензин, Вариатор, Передний, Минивэн, Белый, Правый, PM12******, Не интересует,
14,"Ford Focus 1.6 MT, 2002, 254 000 км",349000, 2002, I рестайлинг (2001—2007), 254 000 км, 6 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 MT (100 л.с.), 1.6 л, Бензин, Механика, Передний, Универсал, Серый, Левый, WF0N*************, Не интересует, Базовая
15,"Opel Antara 2.2 AT, 2013, 133 728 км",929000, 2013, I рестайлинг (2010—2017), 133 728 км, 31 запись в отчёте Автотеки,, 4+, Не битый, 2.2 CDTi 4WD AT (184 л.с.), 2.2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XUUL*************, Возможен, Базовая
16,"Volkswagen Passat CC 1.8 AMT, 2014, 148 000 км",1295000, 2014, B6 рестайлинг (2012—2017), 148 000 км, 7 записей в отчёте Автотеки,, 3, Не битый, 1.8 TSI DSG (152 л.с.), 1.8 л, Бензин, Робот, Передний, Седан, Чёрный, Левый, WVWZ*************, Возможен, Sport
17,"Mazda 6 2.0 AT, 2007, 200 000 км",690000, 2007, GG рестайлинг (2005—2008), 200 000 км, 13 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 AT (147 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Фиолетовый, Левый, JMZG*************, Не интересует, Базовая
18,"Peugeot 407 2.0 MT, 2005, 190 000 км",449000, 2005, I (2004—2011), 190 000 км, 5 записей в отчёте Автотеки,, 2, Не битый, 2.0 MT (136 л.с.), 2 л, Бензин, Механика, Передний, Седан, Чёрный, Левый, VF36*************, Возможен, Базовая
19,"BMW X6 3.0 AT, 2013, 117 000 км",1999000, 2013, E71 рестайлинг (2012—2014), 117 000 км, 12 записей в отчёте Автотеки,, 1, Не битый, 35i 3.0 AT (306 л.с.), 3 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, X4XF*************, Возможен, Базовая
20,"Mercedes-Benz CLA-класс 1.6 AMT, 2013, 140 000 км",1300000, 2013, C117/X117 (2013—2016), 140 000 км, 2 записи в отчёте Автотеки, Оригинал, 1, Не битый, CLA 200 1.6 7G-DCT (156 л.с.), 1.6 л, Бензин, Робот, Передний, Седан, Белый, Левый, WDD1*************, Не интересует, Urban Особая серия
21,"Ford Transit 2.2 MT, 2016, 641 969 км",944000, 2016, VIII (2013—2024), 641 969 км, 10 записей в отчёте Автотеки, Оригинал, 3, Не битый, 2.2 TDCi MT (135 л.с.), 2.2 л, Дизель, Механика, Задний, Микроавтобус, Синий, Левый, Z6FX*************,, Базовая
22,"BMW 5 серия 2.0 AT, 2020, 73 700 км",4400000, 2020, G30/G31 (2016—2020), 73 700 км, 2 записи в отчёте Автотеки, Оригинал, 3, Не битый, 520d 2.0 xDrive Steptronic (190 л.с.), 2 л, Дизель, Автомат, Полный, Седан, Чёрный, Левый, WBAJ*************, Возможен, M Sport
23,"Volvo V40 Cross Country 1.6 AMT, 2015, 155 636 км",995000, 2015, I (2012—2016), 155 636 км, 11 записей в отчёте Автотеки,, 2, Не битый, 1.6 D2 AMT (115 л.с.), 1.6 л, Дизель, Робот, Передний, Хетчбек 5-дверный, Чёрный, Левый, YV1M*************, Возможен, Базовая
24,"Volkswagen Polo 1.6 AT, 2021, 26 215 км",1010000, 2021, VI (2020—2023), 26 215 км, 9 записей в отчёте Автотеки,, 1, Не битый, 1.6 MPI AT (110 л.с.), 1.6 л, Бензин, Автомат, Передний, Лифтбек, Чёрный, Левый, XW8Z*************,,
25,"Chevrolet Cruze 1.8 MT, 2014, 117 000 км",880000, 2014, I рестайлинг (2012—2015), 117 000 км, 5 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.8 MT (141 л.с.), 1.8 л, Бензин, Механика, Передний, Седан, Белый, Левый, XUFJ*************, Не интересует, LTZ
26,"Kia Sportage 2.0 AT, 2015, 123 254 км",1395000, 2015, III рестайлинг (2014—2016), 123 254 км, 3 записи в отчёте Автотеки,, 1, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XWEP*************, Возможен, Premium
27,"Toyota Corolla 1.6 MT, 2013, 123 000 км",899000, 2013, X рестайлинг (2010—2013), 123 000 км, 17 записей в отчёте Автотеки,, 2, Не битый, 1.6 MT (124 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Белый, Левый, JTNB*************, Возможен, Elegance
28,"Ford Focus 1.6 MT, 2005, 183 000 км",399000, 2005, II (2005—2008), 183 000 км, 5 записей в отчёте Автотеки,, 2, Не битый, 1.6 MT (100 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Серебряный, Левый, X9F4*************,, Comfort
29,"Kia Rio 1.6 AT, 2016, 82 377 км",1170000, 2016, III рестайлинг (2015—2017), 82 377 км, 7 записей в отчёте Автотеки,, 2, Не битый, 1.6 AT (123 л.с.), 1.6 л, Бензин, Автомат, Передний, Седан, Серебряный, Левый, Z94C*************,, Luxe
30,"Kia Rio 1.4 MT, 2016, 450 000 км",430000, 2016, III рестайлинг (2015—2017), 450 000 км, 7 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.4 MT (107 л.с.), 1.4 л, Бензин, Механика, Передний, Седан, Серый, Левый, Z94C*************, Не интересует, Comfort Кондиционер
31,"Mitsubishi Outlander 2.4 CVT, 2012, 158 928 км",1459000, 2012, III (2012—2015), 158 928 км, 8 записей в отчёте Автотеки,, 2, Не битый, 2.4 4WD CVT (167 л.с.), 2.4 л, Бензин, Вариатор, Полный, Внедорожник 5-дверный, Серый, Левый, JMBX*************,, Intense
32,"BMW X5 3.0 AT, 2016, 135 157 км",3545000, 2016, F15 (2013—2018), 135 157 км, 22 записи в отчёте Автотеки,, 2, Не битый, 40d 3.0 xDrive Steptronic (313 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, X4XK*************, Возможен,
33,"Mercedes-Benz C-класс 2.0 AT, 2015, 138 000 км",1599000, 2015, W205/S205/C205/A205 (2014—2018), 138 000 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, C 200 2.0 4MATIC 7G-Tronic (184 л.с.), 2 л, Бензин, Автомат, Полный, Седан, Чёрный, Левый, WDD2*************,,
34,"Mazda 3 1.6 AT, 2014, 149 000 км",1290000, 2014, BM (2013—2016), 149 000 км, 29 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 AT (104 л.с.), 1.6 л, Бензин, Автомат, Передний, Седан, Синий, Левый, JMZB*************, Не интересует, Active
35,"Audi Q5 2.0 AMT, 2008, 238 000 км",1249000, 2008, I (2008—2012), 238 000 км, 32 записи в отчёте Автотеки, Дубликат, 4+, Не битый, 2.0 TFSI quattro S tronic (211 л.с.), 2 л, Бензин, Робот, Полный, Внедорожник 5-дверный, Серый, Левый, WAUZ*************, Не интересует, Base
36,"Hyundai Solaris 1.4 MT, 2015, 122 000 км",713000, 2015, I рестайлинг (2014—2017), 122 000 км, 18 записей в отчёте Автотеки,, 2, Не битый, 1.4 MT (107 л.с.), 1.4 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Коричневый, Левый, Z94C*************, Возможен, Active
37,"Volkswagen Polo 1.6 AT, 2013, 152 000 км",600000, 2013, V (2009—2015), 152 000 км, 2 записи в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MPI AT (105 л.с.), 1.6 л, Бензин, Автомат, Передний, Седан, Красный, Левый, XW8Z*************, Не интересует, Style
38,"BMW X3 3.0 AT, 2012, 255 200 км",1510000, 2012, F25 (2010—2014), 255 200 км, 8 записей в отчёте Автотеки, Оригинал, 2, Не битый, 28i 3.0 xDrive AT (258 л.с.), 3 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Коричневый, Левый, X4XW*************, Не интересует, Lifestyle
39,"Kia Sportage 2.0 AT, 2013, 96 354 км",900000, 2013, III (2010—2014), 96 354 км, 25 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, XWEP*************,,
40,"Ford Kuga 2.5 AT, 2012, 138 245 км",949000, 2012, I (2008—2012), 138 245 км, 50 записей в отчёте Автотеки,, 1, Не битый, 2.5 4WD AT (200 л.с.), 2.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, Z6FR*************, Возможен, Titanium
41,"Mazda 6 2.0 AT, 2006, 218 421 км",545000, 2006, GG рестайлинг (2005—2008), 218 421 км, 13 записей в отчёте Автотеки, Оригинал, 4+, Не битый, 2.0 AT (147 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Красный, Левый, JMZG*************, Не интересует, Базовая
42,"Mitsubishi Outlander 2.0 CVT, 2017, 78 659 км",1649000, 2017, III рестайлинг 2 (2015—2018), 78 659 км, 20 записей в отчёте Автотеки,, 2, Не битый, 2.0 4WD CVT (146 л.с.), 2 л, Бензин, Вариатор, Полный, Внедорожник 5-дверный, Чёрный, Левый, Z8TX*************, Возможен,
43,"Ford Kuga 2.0 AMT, 2012, 142 000 км",799000, 2012, I (2008—2012), 142 000 км, 5 записей в отчёте Автотеки,, 2, Не битый, 2.0 TDCi 4WD AMT (140 л.с.), 2 л, Дизель, Робот, Полный, Внедорожник 5-дверный, Коричневый, Левый, WF0R*************, Возможен, Базовая
44,"Hyundai Grand Santa Fe 2.2 AT, 2014, 142 000 км",1265000, 2014, III (2012—2016), 142 000 км, 4 записи в отчёте Автотеки, Оригинал, 1, Не битый, 2.2 R VGT 4WD AT (197 л.с.), 2.2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Коричневый, Левый, KMHS*************,,
45,"Hyundai Sonata 2.5 AT, 2021, 82 000 км",1750000, 2021, VIII (2019—2023), 82 000 км, Проверить в Автотеке, Электронный, 1, Не битый, 2.5 AT (180 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Синий, Левый, XWEL*************, Не интересует, Business + Smart Sense
46,"Hyundai Sonata 2.0 AT, 2011, 164 700 км",1095000, 2011, VI (2009—2014), 164 700 км, 12 записей в отчёте Автотеки,, 3, Не битый, 2.0 AT (150 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Синий, Левый, KMHE*************, Возможен, Prestige + Navi
47,"Mercedes-Benz C-класс 1.6 AT, 2009, битый, 254 000 км",699000, 2009, W204/S204 (2006—2011), 254 000 км, 8 записей в отчёте Автотеки, Оригинал, 3, Битый, C 180 1.6 5G-Tronic (156 л.с.), 1.6 л, Бензин, Автомат, Задний, Седан, Голубой, Левый, WDD2*************, Не интересует, Особая серия
48,"Volkswagen Tiguan 2.0 AMT, 2018, 136 000 км",1699000, 2018, II (2016—2020), 136 000 км, 5 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 TSI 4MOTION DSG (180 л.с.), 2 л, Бензин, Робот, Полный, Внедорожник 5-дверный, Серый, Левый, XW8Z*************,,
49,"Volkswagen Touareg 3.0 AT, 2009, 185 000 км",1255000, 2009, I рестайлинг (2006—2010), 185 000 км, 11 записей в отчёте Автотеки,, 1, Не битый, 3.0 V6 TDI AT (240 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, WVGZ*************, Возможен,
50,"Mercedes-Benz GLK-класс 2.1 AT, 2014, 146 000 км",1429000, 2014, X204 рестайлинг (2012—2015), 146 000 км, 14 записей в отчёте Автотеки,, 1, Не битый, GLK 220d 2.1 4MATIC 7G-Tronic (170 л.с.), 2.1 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Коричневый, Левый, WDC2*************, Возможен,
51,"Mazda 3 2.0 AT, 2014, 98 299 км",1299000, 2014, BM (2013—2016), 98 299 км, 10 записей в отчёте Автотеки,, 2, Не битый, 2.0 AT (150 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, JMZB*************, Возможен, Supreme
52,"Mazda CX-5 2.5 AT, 2017, 63 000 км",2500000, 2017, II (2017—2022), 63 000 км, 12 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.5 4WD AT (194 л.с.), 2.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, RUMK*************, Возможен, Supreme
53,"SsangYong Kyron 2.0 MT, 2011, 107 519 км",1050000, 2011, I рестайлинг (2007—2015), 107 519 км, 7 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 Xdi 4WD MT (141 л.с.), 2 л, Дизель, Механика, Полный, Внедорожник 5-дверный, Чёрный, Левый, Z8US*************, Не интересует,
54,"Mercedes-Benz E-класс 3.5 AT, 2007, 256 000 км",849000, 2007, W211/S211 рестайлинг (2006—2009), 256 000 км, 28 записей в отчёте Автотеки, Дубликат, 4+, Не битый, E 350 3.5 4Matic AT (272 л.с.), 3.5 л, Бензин, Автомат, Полный, Седан, Чёрный, Левый, WDB2*************, Не интересует, AVANTGARDE
55,"Renault Kaptur 1.6 CVT, 2019, 92 073 км",949000, 2019, I (2016—2020), 92 073 км, 6 записей в отчёте Автотеки,, 1, Не битый, 1.6 CVT (114 л.с.), 1.6 л, Бензин, Вариатор, Передний, Внедорожник 5-дверный, Белый, Левый, X7LA*************, Возможен, Drive
56,"Toyota Corolla 1.6 AT, 2007, 143 000 км",795000, 2007, X (2006—2010), 143 000 км, 9 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 AT (124 л.с.), 1.6 л, Бензин, Автомат, Передний, Седан, Синий, Левый, JTNB*************, Не интересует, Базовая
57,"Mazda 6 2.5 AT, 2016, 64 313 км",1969000, 2016, GJ рестайлинг (2015—2018), 64 313 км, 3 записи в отчёте Автотеки,, 2, Не битый, 2.5 AT (192 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, RUMG*************, Возможен, Supreme
58,"УАЗ Patriot 2.7 MT, 2017, 88 000 км",999000, 2017, I рестайлинг 3 (2016—2024), 88 000 км, 13 записей в отчёте Автотеки,, 2, Не битый, 2.7 MT (135 л.с.), 2.7 л, Бензин, Механика, Полный, Внедорожник 5-дверный, Чёрный, Левый, XTT3*************, Возможен, Престиж
59,"Geely Coolray 1.5 AMT, 2021, 36 147 км",1055000, 2021, I (2019—2024), 36 147 км, 4 записи в отчёте Автотеки, Оригинал, 1, Не битый, 1.5 AMT (177 л.с.), 1.5 л, Бензин, Робот, Передний, Внедорожник 5-дверный, Чёрный, Левый, Y4K8*************,, Base
60,"Nissan X-Trail 2.5 CVT, 2018, 81 000 км",1449000, 2018, III (2013—2019), 81 000 км, 15 записей в отчёте Автотеки,, 1, Не битый, 2.5 4WD CVT (171 л.с.), 2.5 л, Бензин, Вариатор, Полный, Внедорожник 5-дверный, Серый, Левый, Z8NT*************, Возможен, LE
61,"Mazda 6 2.0 AT, 2014, 128 000 км",1149000, 2014, GJ (2012—2015), 128 000 км, 6 записей в отчёте Автотеки,, 1, Не битый, 2.0 AT (150 л.с.), 2 л, Бензин, Автомат, Передний, Седан, Серый, Левый, RUMG*************, Возможен, Supreme
62,"Kia Optima 2.4 AT, 2016, 103 000 км",1299000, 2016, IV (2015—2018), 103 000 км, 21 запись в отчёте Автотеки,, 2, Не битый, 2.4 AT (188 л.с.), 2.4 л, Бензин, Автомат, Передний, Седан, Синий, Левый, XWEG*************, Возможен, GT Line
63,"Mercedes-Benz Viano 3.0 AT, 2012, 140 000 км",2010000, 2012, W639 рестайлинг (2010—2014), 140 000 км, 17 записей в отчёте Автотеки,, 2, Не битый, 3.0 CDI AT (224 л.с.) Extra Lang, 3 л, Дизель, Автомат, Задний, Минивэн, Чёрный, Левый, WDF6*************, Возможен, Базовая
64,"Geely Atlas 2.4 AT, 2022, 76 098 км",1879000, 2022, I (2016—2022), 76 098 км, 3 записи в отчёте Автотеки,, 1, Не битый, 2.4 4WD AT (149 л.с.), 2.4 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, Y4K8*************,, Luxury
65,"Daewoo Matiz 0.8 MT, 2008, 143 000 км",135000, 2008, I рестайлинг (2000—2015), 143 000 км, 11 записей в отчёте Автотеки,, 3, Не битый, 0.8 MT (52 л.с.), 0.8 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Бордовый, Левый, XWB4*************, Не интересует,
66,"Mercedes-Benz E-класс 3.0 AT, 2011, 152 700 км",1249000, 2011, W212/S212/C207/A207 (2009—2013), 152 700 км, 6 записей в отчёте Автотеки,, 1, Не битый, E 300 3.0 7G-Tronic (231 л.с.), 3 л, Бензин, Автомат, Задний, Седан, Чёрный, Левый, WDD2*************, Возможен,
67,"Volvo XC70 2.4 MT, 2008, 179 000 км",1099000, 2008, II (2007—2013), 179 000 км, 9 записей в отчёте Автотеки,, 1, Не битый, 2.4 D 4WD MT (185 л.с.), 2.4 л, Дизель, Механика, Полный, Универсал, Коричневый, Левый, YV1B*************, Возможен, Премиум
68,"Mazda 6 2.5 AT, 2013, 145 330 км",1399000, 2013, GJ (2012—2015), 145 330 км, 21 запись в отчёте Автотеки,, 3, Не битый, 2.5 AT (192 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Синий, Левый, RUMG*************, Возможен, Supreme
69,"Land Rover Range Rover 4.4 AT, 2013, 82 000 км",4750000, 2013, IV (2012—2017), 82 000 км, 7 записей в отчёте Автотеки, Оригинал, 1, Не битый, 4.4 TD AT (339 л.с.), 4.4 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Золотой, Левый, SALG*************, Не интересует,
70,"Kia Sportage 2.0 AT, 2014, 105 600 км",920000, 2014, III (2010—2014), 105 600 км, 7 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 AT (150 л.с.),, Бензин, Автомат, Передний, Внедорожник 5-дверный, Серебряный, Левый, XWEP*************,,
71,"Acura MDX 3.5 AT, 2002, 223 000 км",665000, 2002, I (2000—2006), 223 000 км, 7 записей в отчёте Автотеки, Оригинал, 4+, Не битый, 3.5 4WD AT (240 л.с.), 3.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Серый, Левый, 2HNY*************, Не интересует, Базовая
72,"Volkswagen Touareg 3.0 AT, 2014, 122 000 км",1749000, 2014, II (2010—2014), 122 000 км, 3 записи в отчёте Автотеки,, 1, Не битый, 3.0 TDI 4Motion AT (245 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, XW8Z*************, Возможен, Базовая
73,"Ford Focus 1.6 AMT, 2018, 118 000 км",825000, 2018, III рестайлинг (2014—2019), 118 000 км, 18 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.6 PowerShift (125 л.с.), 1.6 л, Бензин, Робот, Передний, Хетчбек 5-дверный, Белый, Левый, Z6F5*************,,
74,"Ford Focus 1.8 MT, 2002, 208 000 км",329000, 2002, I (1998—2004), 208 000 км, 5 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.8 MT (115 л.с.), 1.8 л, Бензин, Механика, Передний, Универсал, Синий, Левый, WF0N*************, Не интересует, Базовая
75,"Volkswagen Tiguan 2.0 AMT, 2018, 97 200 км",1849000, 2018, II (2016—2020), 97 200 км, 26 записей в отчёте Автотеки,, 1, Не битый, 2.0 TSI 4MOTION DSG (180 л.с.), 2 л, Бензин, Робот, Полный, Внедорожник 5-дверный, Белый, Левый, XW8Z*************, Возможен,
76,"Toyota Camry 2.5 AT, 2018, 97 000 км",1699000, 2018, XV50 рестайлинг 2 (2017—2018), 97 000 км, Проверить в Автотеке,, 1, Не битый, 2.5 AT (181 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, XW7B*************, Возможен, Exclusive
77,"Nissan Terrano 2.0 AT, 2018, 104 736 км",1095000, 2018, D10 (2014—2022), 104 736 км, 16 записей в отчёте Автотеки,, 2, Не битый, 2.0 4WD AT (143 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, Z8NH*************, Возможен, Elegance Plus
78,"Peugeot 3008 1.6 AT, 2014, 102 000 км",699000, 2014, I рестайлинг (2013—2016), 102 000 км, 7 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.6 AT (150 л.с.), 1.6 л, Бензин, Автомат, Передний, Внедорожник 5-дверный, Белый, Левый, VF30*************, Не интересует,
79,"Volkswagen Passat 1.8 MT, 1999, 287 800 км",410000, 1999, B5 (1996—2001), 287 800 км, 15 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.8 MT (150 л.с.), 1.8 л, Бензин, Механика, Передний, Универсал, Синий, Левый, WVWZ*************, Не интересует, Базовая
80,"Volkswagen Touareg 3.0 AT, 2007, 182 000 км",895000, 2007, I рестайлинг (2006—2010), 182 000 км, 30 записей в отчёте Автотеки,, 3, Не битый, 3.0 V6 TDI AT (224 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, WVGZ*************, Возможен, Базовая
81,"Mazda 3 2.0 MT, 2005, 263 000 км",250000, 2005, BK (2003—2006), 263 000 км, 7 записей в отчёте Автотеки, Дубликат, 4+, Не битый, 2.0 MT (150 л.с.), 2 л, Бензин, Механика, Передний, Седан, Чёрный, Левый, JMZB*************, Не интересует, Базовая
82,"Kia K5 2.5 AT, 2021, 72 000 км",1840000, 2021, III (2019—2023), 72 000 км, 9 записей в отчёте Автотеки, Электронный, 1, Не битый, 2.5 GDI AT (194 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Белый, Левый, XWEG*************, Не интересует, GT Line+
83,"Audi Q7 2.0 AT, 2020, 19 700 км",4949000, 2020, 4M рестайлинг (2019—2024), 19 700 км, 4 записи в отчёте Автотеки, Электронный, 1, Не битый, 45 TFSI 2.0 quattro Tiptronic (252 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, WA1A*************, Не интересует, Base
84,"Land Rover Range Rover Sport 3.0 AT, 2016, 156 000 км",4150000, 2016, II (2013—2017), 156 000 км, 19 записей в отчёте Автотеки, Оригинал, 2, Не битый, 3.0 TD AT (249 л.с.), 3 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, SALW*************, Не интересует, HSE
85,"Land Rover Discovery 2.7 AT, 2008, 190 094 км",945000, 2008, III (2004—2009), 190 094 км, 12 записей в отчёте Автотеки,, 2, Не битый, 2.7 TD AT (190 л.с.), 2.7 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Красный, Левый, SALL*************, Возможен, HSE
86,"Hyundai Grand Starex 2.5 AT, 2011, 170 000 км",1670000, 2011, I (2007—2015), 170 000 км, 3 записи в отчёте Автотеки,, 4+, Не битый, 2.5 CRDi AT (145 л.с.), 2.5 л, Дизель, Автомат, Задний, Минивэн, Чёрный, Левый, KMJW*************, Возможен, Базовая
87,"Opel Astra 1.6 AT, 2012, 133 312 км",829000, 2012, J рестайлинг (2012—2018), 133 312 км, 44 записи в отчёте Автотеки,, 2, Не битый, 1.6 AT (115 л.с.), 1.6 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Чёрный, Левый, XUFP*************, Возможен, Cosmo
